date,rm,rf,interest(m),SMB,HML,mom
20010131,22.45,-6.676342525,0.0802213,-6.056,-32.874,-32.294
20010228,-6.44,-10.88646967,0.036090226,-16.876,6.862,3.484
20010331,-9.49,-0.872600349,-0.092043682,-7.702,4.42,6.564
20010430,10.35,2.816901408,-0.105714286,10.354,-10.78,-6.392
20010531,6.03,0.171232877,0.020671835,1.052,9.71,-0.388
20010630,-5.84,-3.418803419,0.058047493,-1.21,10.244,10.112
20010731,-9.00,-5.840707965,0.043417367,1.358,-0.634,6.77
20010831,0.66,-7.518796992,0.079062958,4.372,13.024,9.12
20010930,-16.80,-5.284552846,0.015898251,1.838,12.292,6.542
20011031,12.12,-6.43776824,-0.056542811,-8.09,-15.082,-3.948
20011130,19.72,3.899082569,-0.051987768,17.958,11.888,-2.15
20011231,9.76,6.843267108,-0.018895349,9.118,4.836,4
20020131,7.84,-1.033057851,-0.012838802,-1.62,12.882,-0.26
20020228,9.61,-5.219206681,0.014084507,7.572,5.644,6.892
20020331,9.22,2.202643172,-0.024285714,3.528,-2.106,2.224
20020430,-5.94,3.232758621,-0.018131102,3.044,3.824,4.594
20020531,-5.45,0.417536534,0.028767123,-5.758,0.76,-4.304
20020630,-12.50,0.831600832,0.046544429,3.376,5.184,8.914
20020731,-3.33,1.237113402,0.032544379,-3.102,2.51,-0.02
20020831,1.70,-2.240325866,0.04587156,-3.168,1.248,1.99
20020930,-12.22,0.208333333,0.012820513,3.852,12.338,3.688
20021031,1.93,2.079002079,0.008116883,-0.708,-6.074,5.608
20021130,7.67,0,0.050736498,9.194,0.068,4.546
20021231,-13.42,-0.203665988,0.005172414,-0.646,4.784,-0.898
20030131,-5.69,-4.081632653,0.058925477,-2.044,-0.948,-0.67
20030228,-2.78,-3.404255319,0.051565378,0.4,3.404,3.506
20030331,-6.90,4.845814978,-0.009708738,7.764,1.552,7.612
20030430,11.88,-2.941176471,0.032692308,0.282,-1.23,-8.882
20030531,5.68,-4.978354978,0.069582505,-2,-1.696,-4.464
20030630,5.76,-2.505694761,0.047008547,1.04,-3.848,-4.35
20030731,6.51,-3.037383178,-0.109865471,6.862,0.946,1.05
20030831,5.14,-6.024096386,-0.062626263,11.398,9.57,8.638
20030930,-8.16,-1.794871795,0.093155894,-3.118,6.23,1.72
20031031,12.16,2.610966057,-0.020964361,14.924,2.988,7.79
20031130,2.69,7.633587786,-0.098562628,6.338,6.784,4.26
20031231,1.82,2.600472813,-0.014953271,3.652,5.61,3.9
20040131,4.66,-1.843317972,0.001841621,4.97,1.402,-0.036
20040229,2.36,-4.225352113,-0.001845018,5.284,4.14,3.008
20040331,-0.33,-3.676470588,0.031307551,-0.686,2.168,4.964
20040430,-2.01,-0.508905852,0.001901141,-9.36,-1.362,2.432
20040531,-6.84,-0.255754476,0.017142857,-0.45,2.74,0.052
20040630,-2.25,0.256410256,0.029069767,3.578,5.898,1.886
20040731,-6.42,0,0.025948104,-1.802,14.556,-0.07
20040831,9.28,-5.37084399,0.112704918,5.114,-0.792,-2.358
20040930,3.92,-4.864864865,0.043879908,6.294,7.02,2.436
20041031,0.33,0,0.02173913,2.296,5.596,8.12
20041130,5.18,-2.840909091,0.022222222,0.704,7.916,1.092
20041231,2.03,-0.877192982,0.027777778,-3.202,-2.384,-1.338
20050131,4.11,2.359882006,-0.148051948,-25.384,-16.192,-8.378
20050228,8.43,3.458213256,-0.104072398,-2.716,15.262,12.16
20050331,-4.52,-1.114206128,0.022540984,3.106,4.218,-3.702
